Ano,Nascidos_Vivos,NascVivos_Pesados,NascVivos_<2500g,Óbitos<28d_Diarr,Óbitos<28d_IRA,Óbitos<28d_OutCau,Óbit_28a11m_Diarr,Óbit_28a11m_IRA,Óbit_28a11m_OutCau,Óbitos<1a_Diarr,Óbitos<1a_IRA,Óbitos<1a_OutCau,Óbitos_Fem.10a14a,Óbitos_Fem.15a49a,Óbitos_Adol_violên,Outros_óbitos,Hosp.<5a_Pneumonia,Hosp.<5a_Desitrat,Hosp.Abuso_Álcool,Hosp.Complic.Diab.,Hosp.p/Out.Causas,Hosp.Psiquiátricas,Nº_Visitas,Famílias_Acompanh.,Nº_Gestantes,Nº_Gest._Acompanh,Nº_Gest._<20_anos,Gest.c/PN_no_mês,Gest.c/PN_1ºTrim,Gest.c/Vacina_Dia,Crianças_até_4m,Cr<4m_AleitMatExcl,Cr<4m_Aleit_Misto,Crianças_<1_ano,Cr<1a_c/Vacin.dia,Cr<1a_pesadas,Cr<1a_desnutridas,Cr_12-23meses,Cr_12-23m_Vac.Dia,Cr_12-23m_Pesadas,Cr_12-23m_Desnutr.,Cr<2a_c/diarr,Cr<2a_usaram_TRO,Cr<2a_c/IRA,Diabetes_Cadastr.,Diabetes_Acompan.,Hiperten.Cadastr.,Hiperten.Acompan.,Tubercul.Cadastr.,Tubercul_Acompan.,Hansenia.Cadastr.,Hansenia.Acompan.
1998,488973,452142,35693,1681,1478,7787,3115,2126,6832,4859,3640,14699,1414,8688,2774,78749,40547,34158,8301,10857,221693,9339,76863447,82014238,2715098,2253857,441658,1572276,1083690,1773941,2322151,1232021,985562,6108873,4620021,4602091,528349,6752523,5370395,4902026,977926,1343506,1034892,1107530,893778,740312,4572836,3477240,45353,38975,82327,72617
1999,841655,789987,67848,2840,1856,22052,3976,2894,10756,6832,4758,32815,2644,13803,3443,150060,109264,77043,20940,35519,764595,26538,133385744,144597929,4163085,3815330,1080795,2802959,1993660,3135365,3731961,2160244,1442569,10260820,8025431,7960703,795206,11337124,9192423,8525649,1637500,1973376,1482096,1734081,5035232,3572742,17470388,12943926,131941,115361,208804,192177
2000,1016276,963655,86123,3258,3693,13351,2939,3991,12087,6182,5288,25443,2836,18038,12983,189612,139342,80613,27402,52949,1138428,35665,175903642,178584460,5052780,4662132,1319300,3558851,2605868,3922623,4617514,2816647,1655029,12984541,10627503,10437917,844722,14080833,11951589,10942932,1860386,2270614,1578726,2114279,6269878,5156230,24881850,20978698,165960,145076,265643,246703
2001,1117157,1065407,99242,3118,2026,14127,2512,2488,12558,5649,4510,26683,3515,18229,4373,335777,137079,198702,32934,67541,1490409,44612,212510016,206197013,5879200,5602810,1571555,4461823,3347555,4821118,5047722,3200729,1703202,14528404,12297094,11808085,828690,16436135,14271797,12861535,1860667,2283385,1657956,2235076,10147327,8158173,36876227,31772606,192594,170118,309777,290821
2002,1313151,1161280,112946,3218,1801,15083,2186,2258,13298,5402,4059,28370,3141,19662,4637,266939,561661,83226,35532,78185,1889455,51585,252385345,246742391,6856853,6242846,1705323,5184103,4007539,5531962,5488116,3607858,1737152,15963773,14038963,13169544,807972,17701400,15861986,14012013,1814114,2231533,1662832,2310236,11979819,10675019,49272809,43946817,216798,196792,361597,331583
2003,1239021,1357825,722686,2565,1704,14801,1899,2118,13565,4393,3758,28352,3271,19763,4647,295468,359392,81106,35569,514201,2401259,55960,275637455,267304151,6934465,6619169,1771197,5667550,4505713,6001398,5599399,3767003,1696230,16394345,14904812,13895208,665158,18143138,16441626,14593346,1464865,2187519,1666827,2348879,14100142,12431996,59115075,53732438,232174,211223,387594,492234
2004,2501762,2435560,236518,4526,2536,27924,2794,3700,26110,7296,6216,53942,5788,40188,9636,640454,463502,144184,84430,169544,4640760,112008,581705194,575095216,14522714,13959368,3636276,11939190,9717772,12612472,11218206,7792558,3183112,33725172,30623024,28473954,1027100,36063056,33305484,29575316,2250300,3990862,3001472,4777912,33310588,28228854,143219130,125383314,480374,1239302,814598,757854
2005,2673524,2609606,251928,5020,2836,28828,3122,3588,26108,7484,6408,56898,5980,41410,11354,651864,1560144,138248,83806,188654,4930656,121438,619688338,590675536,15392950,15461740,3798408,13003148,10617956,13618206,11586734,8233834,3135260,34227120,32170360,29543134,854496,36346892,34316892,30168782,1803298,3906830,2860172,4554436,37984636,32131928,160640012,144913750,515798,474818,814100,759866
2006,2693160,2637122,263272,4704,2900,28388,2198,3036,24770,8164,6470,1468866,474114,1244856,11792,703634,1065572,139864,83594,199560,5228466,124150,660240670,631378176,15806676,15351162,3864408,13812202,11487228,14412940,11723270,8443408,3093982,35618242,33881800,31086348,695286,37853488,35990032,31818388,1502542,3982026,2955372,4650294,44446098,37368352,185358716,168796774,971118,930434,1249522,1215106
2007,2634588,2585394,252928,3530,2354,26594,1502,2498,23810,10380,5648,117868,5908,42292,10200,732564,4102760,154036,87776,199594,5345518,120416,695980190,681776652,15689260,15190804,3736058,13836114,11714278,14428104,11297206,8261454,2911686,34968992,33332778,30642216,547000,37553094,35937114,32034436,1181708,3293550,2413124,4505184,45017600,39966120,207077748,181648956,510152,468242,729058,856588
