Ano/Mês,Nascidos_Vivos,NascVivos_Pesados,NascVivos_<2500g,Óbitos<28d_Diarr,Óbitos<28d_IRA,Óbitos<28d_OutCau,Óbit_28a11m_Diarr,Óbit_28a11m_IRA,Óbit_28a11m_OutCau,Óbitos<1a_Diarr,Óbitos<1a_IRA,Óbitos<1a_OutCau,Óbitos_Fem.10a14a,Óbitos_Fem.15a49a,Óbitos_Adol_violên,Outros_óbitos,Hosp.<5a_Pneumonia,Hosp.<5a_Desitrat,Hosp.Abuso_Álcool,Hosp.Complic.Diab.,Hosp.p/Out.Causas,Hosp.Psiquiátricas,Nº_Visitas,Famílias_Acompanh.,Nº_Gestantes,Nº_Gest._Acompanh,Nº_Gest._<20_anos,Gest.c/PN_no_mês,Gest.c/PN_1ºTrim,Gest.c/Vacina_Dia,Crianças_até_4m,Cr<4m_AleitMatExcl,Cr<4m_Aleit_Misto,Crianças_<1_ano,Cr<1a_c/Vacin.dia,Cr<1a_pesadas,Cr<1a_desnutridas,Cr_12-23meses,Cr_12-23m_Vac.Dia,Cr_12-23m_Pesadas,Cr_12-23m_Desnutr.,Cr<2a_c/diarr,Cr<2a_usaram_TRO,Cr<2a_c/IRA,Diabetes_Cadastr.,Diabetes_Acompan.,Hiperten.Cadastr.,Hiperten.Acompan.,Tubercul.Cadastr.,Tubercul_Acompan.,Hansenia.Cadastr.,Hansenia.Acompan.
1998,488973,452142,35693,1681,1478,7787,3115,2126,6832,4859,3640,14699,1414,8688,2774,78749,40547,34158,8301,10857,221693,9339,76863447,82014238,2715098,2253857,441658,1572276,1083690,1773941,2322151,1232021,985562,6108873,4620021,4602091,528349,6752523,5370395,4902026,977926,1343506,1034892,1107530,893778,740312,4572836,3477240,45353,38975,82327,72617
1999,841655,789987,67848,2840,1856,22052,3976,2894,10756,6832,4758,32815,2644,13803,3443,150060,109264,77043,20940,35519,764595,26538,133385744,144597929,4163085,3815330,1080795,2802959,1993660,3135365,3731961,2160244,1442569,10260820,8025431,7960703,795206,11337124,9192423,8525649,1637500,1973376,1482096,1734081,5035232,3572742,17470388,12943926,131941,115361,208804,192177
2000,1016276,963655,86123,3258,3693,13351,2939,3991,12087,6182,5288,25443,2836,18038,12983,189612,139342,80613,27402,52949,1138428,35665,175903642,178584460,5052780,4662132,1319300,3558851,2605868,3922623,4617514,2816647,1655029,12984541,10627503,10437917,844722,14080833,11951589,10942932,1860386,2270614,1578726,2114279,6269878,5156230,24881850,20978698,165960,145076,265643,246703
2001,1117157,1065407,99242,3118,2026,14127,2512,2488,12558,5649,4510,26683,3515,18229,4373,335777,137079,198702,32934,67541,1490409,44612,212510016,206197013,5879200,5602810,1571555,4461823,3347555,4821118,5047722,3200729,1703202,14528404,12297094,11808085,828690,16436135,14271797,12861535,1860667,2283385,1657956,2235076,10147327,8158173,36876227,31772606,192594,170118,309777,290821
2002,1313151,1161280,112946,3218,1801,15083,2186,2258,13298,5402,4059,28370,3141,19662,4637,266939,561661,83226,35532,78185,1889455,51585,252385345,246742391,6856853,6242846,1705323,5184103,4007539,5531962,5488116,3607858,1737152,15963773,14038963,13169544,807972,17701400,15861986,14012013,1814114,2231533,1662832,2310236,11979819,10675019,49272809,43946817,216798,196792,361597,331583
2003,1239021,1357825,722686,2565,1704,14801,1899,2118,13565,4393,3758,28352,3271,19763,4647,295468,359392,81106,35569,514201,2401259,55960,275637455,267304151,6934465,6619169,1771197,5667550,4505713,6001398,5599399,3767003,1696230,16394345,14904812,13895208,665158,18143138,16441626,14593346,1464865,2187519,1666827,2348879,14100142,12431996,59115075,53732438,232174,211223,387594,492234
2004,1250881,1217780,118259,2263,1268,13962,1397,1850,13055,3648,3108,26971,2894,20094,4818,320227,231751,72092,42215,84772,2320380,56004,290852597,287547608,7261357,6979684,1818138,5969595,4858886,6306236,5609103,3896279,1591556,16862586,15311512,14236977,513550,18031528,16652742,14787658,1125150,1995431,1500736,2388956,16655294,14114427,71609565,62691657,240187,619651,407299,378927
2005,1336762,1304803,125964,2510,1418,14414,1561,1794,13054,3742,3204,28449,2990,20705,5677,325932,780072,69124,41903,94327,2465328,60719,309844169,295337768,7696475,7730870,1899204,6501574,5308978,6809103,5793367,4116917,1567630,17113560,16085180,14771567,427248,18173446,17158446,15084391,901649,1953415,1430086,2277218,18992318,16065964,80320006,72456875,257899,237409,407050,379933
..Janeiro/2005,102383,99803,9999,171,83,1170,105,127,1081,274,210,2378,248,1753,503,26144,5824,5193,3374,7048,169062,4802,23548766,23483827,622017,582358,149870,497087,411667,531551,433214,305570,118897,1352731,1242761,1152349,36519,1461414,1356955,1197713,78757,164443,119364,148217,1320332,1213164,5953844,5373705,20182,18688,32154,30494
..Fevereiro/2005,102053,99537,9791,159,103,1227,133,124,1082,292,223,2442,320,1712,436,24406,5616,5777,3700,7376,180143,4822,24154867,23886522,650670,612886,158675,530266,431055,560294,441578,312624,120238,1377506,1268564,1176116,36928,1483129,1376261,1216871,78707,184445,136303,147754,1361257,1251296,6326106,5557761,20378,18687,32501,30950
